"season_year","home_team","away_team","winning"
2009,"PHI","DAL",-1
2011,"PIT","TEN",1
2011,"HOU","OAK",-1
2011,"IND","KC",-1
2011,"JAC","CIN",-1
2011,"NYG","SEA",-1
2011,"MIN","ARI",1
2011,"CAR","NO",-1
2011,"BUF","PHI",1
2011,"SF","TB",1
2011,"NE","NYJ",1
2011,"PHI","DAL",1
2011,"SEA","CIN",-1
2009,"WAS","PHI",-1
2011,"TB","ATL",1
2011,"SEA","ARI",1
2011,"CHI","GB",-1
2011,"STL","BAL",-1
2010,"PHI","HOU",1
2011,"IND","PIT",-1
2011,"STL","SF",-1
2011,"DEN","KC",-1
2011,"ATL","TB",1
2011,"NO","CAR",1
2011,"OAK","SD",-1
2011,"ARI","SEA",1
2009,"SF","ARI",1
2012,"ATL","NYG",1
2012,"CHI","GB",-1
2012,"STL","MIN",-1
2012,"NO","TB",1
2012,"MIA","JAC",1
2012,"CLE","WAS",-1
2012,"HOU","IND",1
2012,"BAL","DEN",-1
2012,"SD","CAR",-1
2012,"ARI","DET",1
2011,"TB","IND",1
2012,"STL","SEA",1
2012,"ATL","CAR",1
2012,"ARI","MIA",1
2012,"NYJ","SF",-1
2012,"HOU","TEN",1
2012,"BUF","NE",-1
2012,"DET","MIN",-1
2012,"KC","SD",-1
2012,"JAC","CIN",-1
2012,"DEN","OAK",1
2010,"ATL","BAL",1
2009,"IND","SF",1
2009,"NYJ","MIA",-1
2009,"DET","STL",-1
2009,"GB","MIN",-1
2009,"CHI","CLE",1
2009,"DAL","SEA",1
2009,"BAL","DEN",1
2009,"BUF","HOU",-1
2009,"SD","OAK",1
2009,"TEN","JAC",1
2010,"NO","MIN",1
2010,"BAL","PIT",-1
2011,"OAK","CLE",1
2010,"ARI","DAL",1
2009,"NO","CAR",1
2009,"TB","GB",1
2009,"NE","MIA",1
2009,"JAC","KC",1
2009,"IND","HOU",1
2009,"CIN","BAL",1
2009,"CHI","ARI",-1
